id,text,label
0,aussies tweet to muslims who might be scared to travel alone,0
1,see how the world responded to the paris terrorist attack,0
2,my own opinion but not sure how you can proceed with nhl game tonight in ottawa.,0
3,- smoke coming out in,0
4,you shouted 'allahu akber' whilst murdering others? you are a disgrace to my religion. may the dead rest in peace,0
5,every non-muslim in the world must watch this video &amp; show it every other non-muslim!,0
6,"imam of drancy, paris, condemns attack, says it has nothing to do with islam, calls on muslim ""silent majority"" to condemn it",0
7,charlie hebdo killers are dead. sources say they are not in paradise.,1
8,a ukrainian website shows a cartoon of lying in a coffin.,0
9,"here is the speed and altitude graph of from . scary stuff, shows it impacted ground at 400kts",0
10,muslim extremists are always so open to reason and negotiation. this should end well.,0
11,"so the angel michael brown who is 6'4"" 290 is the robber of the convenience store!",1
12,"breaking news: is over, according to police.",0
13,here's the cartoonist's response to the attack:,0
14,"video: seconds after shooting nathan cirillo, suspect gets into car.",1
15,video purportedly shows gunmen fleeing after opening fire at offices in france.,0
16,amerika appears to be awash in all manner of . much of it state-sponsored.,0
17,"one child, one teacher, one book, and one pen,can change the world -malala-",0
18,unconfirmed reports claim that michael essien has contracted ebola.,1
19,"kids dancing/chanting ""justice for "" just feet from police",0
20,prince rumoured to play secret toronto show tuesday,1
21,central sydney shut down by police amid ongoing hostage situation:,1
22,soldier killed in identified as cpl. nathan cirillo (via ),1
23,authorities have confirmed that is now over after police storm the building:,0
24,nhl says date of rescheduled game tbd. nhl ``wishes to express its sympathy and prayers to all affected by the tragic events in ottawa'',1
25,full statement from feds on civil rights investigation in death of,0
26,we are all charlie hebdo. kill us all!,0
27,up to 20 held hostage in sydney lindt cafe siege,1
28,"10 people have died in a shooting at the paris hq of french weekly charlie hebdo, reports say.",1
29,muslim leaders worldwide have condemned the charlie hebdo attacks. but you won't learn that by watching .,0
30,"""our problem is not with hamas. our problem is not in iraq. our problem is in !"" - anthony shahid",0
31,flight with at least 142 passengers and crew of six goes down in the alps region.,0
32,playing tonight $10 . lucky folks indeed,1
33,murderers hijacked religion just as the far-right will hijack the murders. cycle of hate.,0
34,twelve people confirmed dead in shooting at french satirical magazine charlie hebdo in paris,1
35,good old massey hall for prince tonight in .,1
36,police once beat a man then charged him with destruction of property for bleeding on their uniforms,1
37,"call out to stl co police: only can confirm a person shot on chambers, and is down. no word on alive or dead, or why.",1
38,we can see people coming out a firedoor near the lindt cafe to waiting police. 2-3 people. hard to see.,1
39,the response to should be to reprint his work and spread it wider than his killers could have thought possible,0
40,the gunman in ottawa has been shot and killed. i'm at a loss for words this morning. that isn't my canada.,1
41,update: reports the sydney opera house has also been evacuated.,1
42,black flag held by hostages bears islamic message of faith (photo: ap/channel 7),1
43,shootings lead to firebomb attacks on french mosques (pic: j f monier/afp),0
44,a crowd gathered in toulouse for the national moment of silence for the victims,0
45,video of hostages running from cafe,0
46,"killers dead, confirmed by gendarmerie.",1
47,publish a charlie hebdo cartoon: show them the pen will still flourish when their guns have rusted,0
48,"reports of a plane crash near the french alps, a germanwings a320",1
