id,text,label
0,maybe god was punishing them for their interracial marriage .,1
1,"i feel so sorry for all you people living there , wish you could all move here hopefully you do n't suffer like your neighbours in zimbabwe .",1
2,look at this cultural incongruity from plymouth . video : plymouth celebrates st george 's day with music and dancing in the streets | this is plymouth,1
3,a puppet in the hands of the jews were zionist jewish states of america and the bolshevik soviet union .,1
4,who the hell cares if its not kosher ...,1
5,high time they get back to mother affika and fix that mess .,1
6,"if monkeys are on my property i call animal control and defend my family and property with whatever means possible , simply talking sense to a monkey and pointing at it will not stop it from misbehaving !",1
7,"oh, yes they will skin us alive if given the chance .",1
8,if that stopped the worthless thing would starve !,1
9,these groids went haywire when they got in there and found themselves a white girl .,1
10,no wonder we are in such bad shape with this tribe in charge of the white house and congress .,1
11,"yup, africans breeding like cockroaches , aids is not killing them off fast enough to stop their growth !",1
12,that 's every groid 's wish anyways .,1
13,so therefore they 're not the dumb brutes like blacks are .,1
14,so they can get reparations for their great grand parents ' `` suffering '' plus more .,1
15,we have a little piece of legislation called the prohibition of foreign military assistance act this prohibits mercs from operating in south africa. on pain of five years of hell in a kaffer jail .,1
16,were whites to leave in large numbers leaving few whites behind in south africa the country would start going down hill and then maybe more whites would begin to see what losers negros are and how they cannot even maintain what is given to them .,1
17,i went back a cpl years ago and the black vermin were everywhere .,1
18,"i honestly hate indians , muslims , really anything with brown , black or yellow coloured skin i hate .",1
19,"him , his wife , and his kids have absolutely no place in a white nation and it 's disgusting how they put an end to thousands of years of evolution for being so selfish .",1
20,this is the same race that thinks raping babies cures aids .,1
21,a nice kick to the nuts will always work i find it a dirty move to kick another man in the knackers but after all .. a black does n't equate to the same standard,1
22,it is hate if we disagree with this ethnic scum and no hate crime if they attack us .,1
23,"absolutely, whenever i see a dirty white coon with dreadlocks i get the urge to grab him by his flea blanket head and head butt him senseless",1
24,"couple befriend negroid , negroid tries to burn down couples home - nnn reporters newsroom forum moblie couple says neighbor tried to set their apartment on fire reported by : irika sargent last update : 4/25 9 : 01 pm moblie couple says neighbor tried to set their apartment on fire | local15tv.com , mobile & pensacola news , entertainment , videos , business search and shopping this is what happens when you make friends with spearchuckers .",1
