id,text,label
0,from what i know they 're almost exclusively nigerian asylum seekers .,0
1,5 months break divided during the year .,0
2,"it 's a nationalist site as well , maybe give them a try !",0
3,"too many internet people know me by looks , and would love to crucify me for something .",0
4,i read an article on that awhile ago and it said that when eisenhower went to moscow he did n't even ask for american pows to be released .,0
5,i bet this negro is planning for an insanity defense and he may just get it .,0
6,"a powerful gang member who may not rape , may sell a new prisoner to someone that does .",0
7,every one stop making fun of other people 's pic 's were all a white family.by the way all you lady 's on here are looking fine to bad i 'm only 16 .,0
8,i want to know where did celtic nation found this picture : just two girls looks to be portuguese .,0
9,"apparently he came to the conclusion that his french was too poor to win over quebec , and thus he felt destined to lose .",0
10,viva la mayheeko !,0
11,"i just recently quit smoking cigarettes ( very hard stuff ) and i will say i do like to get together with a few friends and have a few beers , but that 's all i 'll do .",0
12,"so long as exists i will not only think of blacks as sub-human savage beasts with no more self-control than a rabid dog , but refer to them as such .",1
13,"i like this video : die antwoord - `` fatty boom boom '' ( official video ) - youtube girl dresses in blackface , shows africa is savage , and makes fun of lady gaga .",0
14,hungary in ww2 : for the justice !!!,0
15,definitely going to stock up on certain melee weapons for the future .,0
16,a couple of white woman who speak the full truth and name the jew !,0
17,`` can you tell me where this service is ?,0
18,i sat up with my eldest son till 5 am to watch a fight that went 14 secs .,0
19,thanks it may not seem like much but just puting one of those leaflets up on a noticeboard gets a lot of people talking .,0
20,read what is in bold .,0
21,seemed to work well on the indians and australian aborigines .,0
22,"tesco shoppers in mold , flintshire flee man wielding machete | daily mail online edit : sorry i just saw this has already been posted .",0
23,to which one should reply that they are a bunch of soft bellied women of whom their ancestors would be ashamed .,0
24,oberschlesien - als die deutschen weg waren ( 4/5 ) - youtube,0
25,oh that 's just great .,0
26,"`` oh s * * t , '' without looking , `` i hit one of their cars and now i am going to die ! '' , but to my relief , it was merely a light pole .",0
27,at least people in the us have guns to defend themselves .,0
28,the indians and stanis will just spit all over the street .,1
29,in this text there is a table of how they are going to destroy our culture and implement their communist state .,0
30,thanks for the tip rock does not really macth my taste but i 'll go check it out anyway who knows,0
31,as far as i know there is no russophobia in belarus .,0
32,the only thing holding us back are our traitors and the 40billion anti-european people of the earth that flourished on our technology .,0
33,"it is like they would bleach their hair blonde and bleach their skin `` white '' , speak english , etc but still they would torment others with their black characteristics .",1
34,"allow me to apologize for my last post , as i was drinking heavily last night but you callin me a genetic lottery winner ? come on now i 've had my fair share of hard times just last week a yellow person came into my place of work and started making trouble .",1
35,break them up .,1
36,the folk im talking about have been shoulder to shoulder with me for a long time and i will continue to show loyalty and respect to them as they have more than earned it 828,0
37,leave now .,0
38,he live on forums all day because he have no job .,0
39,tight as in good pals ?,0
40,nationalists attend rally for life 2013 - youtube,0
41,i had never even heard of stormfront until the night i found it and joined .,0
42,don't think you supremacists would ever be able to build up the force of resistance that irish republicans did mate .,0
43,i cant say i have ever saw a c in a on any products i have looked at .,0
44,we might as well just abandon the land because people invaded the land and took it from the animals .,0
45,"also some of us on here , like myself , do not believe in the genocide of another race which is what abortion is doing to the black race as 92 % of abortion clinics are in black communities , we just do n't believe in race mixing .",1
46,a few years back my son had a english teacher that was from south america that couldnt hardly speak english yet she was teaching it,0
47,dyeing your hair is the right thing to do. : attack go and run me over a * * * * * *,0
48,few pics taken this summer ...,0
49,they were nothing short of a godsend .,0
50,"dont quote me on it , im pretty sure open carry of a long gun in texas is legal .",0
51,hope fully `` next year in jerusalem '' as they say .,0
52,they do n't have capitalism there !,0
53,see the new thread @ : //,0
54,just take a few correspondance courses if you can you can likely make up the credits .,0
55,"ireland joins international task force on holocaust education , remembrance and research ireland has been accepted as a member country of the international task force on holocaust education , remembrance and research ( itf ) .",0
56,wasn't there something like a big bang in which a burrito exploded and all the beans flew everywhere and started reproducing exponentially ?,1
57,"yeah , it 's expensive .",0
58,i hope all goes well in sweden ( i lived there ) and loved it .,0
59,"i dont mean with kids that young , you are doing the right thing with them.but an extreme approach works with teenagers",0
60,hello to all my friends here on the forum .,0
61,i had to get used to her looking like that because she looked so obviously fake .,0
62,blacks are n't that strong .,0
63,thank you for your post .,0
64,careful what you laugh at .,0
65,i have bookmarked the site and will check up on it often .,0
66,"this lady came out of a convenience store and got the stare , she glared right at them , spat on the ground and stormed off !",0
67,home schooling is the best option .,0
68,i have no clue what it does but its there lol .,0
69,"i posted a thread in stormfront ireland the week before about english hooligans slashing an irish mans throat , the thread dissappeared without explanation .",0
70,my kids in school are only around kids born within a few months of them and they rarely get to talk .,0
71,that prince who married that asian is a freak. imagine his half and half kids growing up and trying to marry into other royal families,1
72,blacks built the pyramids and the white house .,0
73,nice to see you on this board mo. i posted a thread on this a week or so ago and here it is .,0
74,to be honest .. it frightens the living hell outta me .,0
75,"we all have unique abilities and knowledge , can you imagine if we got together and each of us put together a class for all the children in our specialized field ?",0
76,"such as a person with one arm , wheel chair ect .",0
77,if whites did have some knowledge and a little more recognition was put out there i think most of them would feel a little more pride of who they are and stick to the white race .,0
78,imagine that someone tells that it 's your fault because you provoked russians or some similar idiotic bullcrap .,0
79,"welcome to stormfront , the largest white nationalist community on the web .",0
80,i found out this morning that junior school kids are n't allowed to sing bar bar black sheep anymore because it 's racist and might offend the coloured kids so they are being told to sing bar bar randow sheep ! whats next we 'll not be allowed to sing god save the queen .,0
81,some klansmen refuse to see where real problems are .,0
82,he will get aids soon and die,0
83,i think they are just desperately trying to be more popish than the pope himself and avoid accusations of racism before they are even expressed by demanding increased immigration .,0
84,i ca n't fathom seeing all those brainless whites along with their negro counterparts worshipping obama .,1
85,uc student robbed at gunpoint : ' it can happen to anybody',0
86,as a brit my knowledge of american law is somewhat lacking but even i know that this holder groid has committed treason,1
87,imagine this as a pro romney video with ted nugent in a black family 's home screaming at them to wake the bleep up .,0
88,"that kid is probably going to get some disease from laying with his face on the floor of a supermarket like that , or some good doer will call he cops and he could get put in a foster home .",0
