id,text,label
0,"hopefully the non-white parasites will flee to a new host nation. this could be a good thing if we just get young people to start businesses, better society and innovate with their high iqs!",1
1,all people are fucked up because of these queer thing because y'all realize how shitty gender roles are and how absurd is to see it in reverse genders roles,1
2,feminism and islam are of the same spirit,0
3,"try to talk to me about your senseless, inane god and you will meet him again as soon as possible thanks to my hand bitch",1
4,watching this kid trying to step up and walk with that crutches is the best thing in the world. so idiot,1
5,if men shouldnt hit women because we are physically stronnger... then women shouldnt talk because they are fucking louder.,1
6,"women are our property. the sooner they realize that, the better.",1
7,'nah cut it off im sure i won't regret it ',0
8,that guys chin strap bothers me man....idk why.,0
9,is this world filled by those stupid female bitches?,1
10,stupid ugly asian tan ass snitch,1
11,"a solution to the u.s. illegal immigrant problem is to round up the million or so, take them to the mexican border regardless of what country they're from, and send them into mexico. maybe then when the mexican border is over-run with immigrants will mexico understand and help pay for a wall.",1
12,they should have beat his ass. he deserves it.,0
13,all girls like you should have a pimp to guide them to successful prostitution,1
14,what type of question it is???????,0
15,"all that effort to not look like those other basic attention whores, yet you're clearly still a massive attention whore.",1
16,victimizing yourself doesn’t help,0
17,i see the depression caused her to gain more weight.,0
18,"wtf this teacher should be expelled. that's no way to treat a disabled kid, specially an autistic one!",0
19,"roses are red. your sweatshirt is blue. when a white girl gets raped, the suspect for sure is you!",1
20,they are laughing and their countries are poor evil murderes and all corrupted good job.,1
21,"oh god yes!!!! feel the shrapnel pierce through your skin, let the fire consume your flesh and lay lifeless on the unforgiving sand that seeps into your wounds. your screams is what gives murcia the fuck yeah in the most patriotic songs on earth. burn in hell you goats !!!",1
22,there's a lot of confusion about male/female vs. masculine/feminine. they don't always line up. and nobody seems to ask why there are so many more male to female transexuals than female to male?,0
23,you can see the country is fertile and green. just need the right governance,0
24,this the type of dude you see on chat roulette at 2:39am,0
25,my best friend is muslim. and he is the best man in the world,0
26,i propose suicide for evert politician,0
27,"even watching it on screen feels intense....imagine what they would be feeling to witness this horror first hand. to just be there takes some courage, let alone even touching the dead.",0
28,that fucking black cunt gets fucking cross hairs on the fucking head! look i owe not shit to anyone who dosent owe me!!! look whore!! fuck you to death!!! 11 percentile and falling!! whore black racist whore! take the red pill!,1
29,"i thought that a big reason why it had to be africans, is their skin. it's an obvious marker to tell if someone is a slave. and even if they run, they're still black.",1
30,"the porn industry is a billion dollar industry because of beautiful women. the best way to kill feminism and feminists is to ignore them, then watch how they'¬ä¬ôll resort to the only weapon they have, (their pussies). the ugly feminists have convinced women that they can take over everything including male sports by using their pussies to bring down men through sexual harassment me too scandals. what would make headline news? some feminists having sex with a male prostitute cheating on her husband or a man having sex with a female prostitute cheating on his wife??? what would make headline news? a woman having sex with a married man whom she knew was married? or a married man cheating on his wife?",1
31,now the sea is filled with disgusting dead filth like them. ruined my mediterranean vacations,0
32,"this sick, disgusting, white terrorist/fascist killed more than 50 innocent people.",1
33,fuck sweden. let it die like the degenerates they are!,1
34,his eyebrows probably represent his parents relationship,0
35,literally the reason why i'm deleting my instagram account. sick of this fakery.,0
36,you look like you kill bees for fun,0
37,all of these clueless reporters comparing themselves to cronkite and edward r. murrow and they can't even get through a teleprompter read-through without hitting the floor.,0
38,i honestly hate china. u can disagree but after this i cant. its a horrible place and its horrible people,1
39,i think black and white are just labels. people can live together in piece despite colour dismatch,0
40,these people do not represent islam!!,0
41,that is a lot of really dumb people in one room. wow,0
42,the only thing more repulsive than a nigger is a nigger faggot. self-hating whites shower images of cross-dressed niggers with praise because the modern left fetishizes all forms of depravity.,1
43,trump is racist for not letting this brave woman return!!!,0
44,"chinky filthy guy, get out of us. get out of our land.",1
45,there's not anything to refute because its just a massive cope lol.,0
46,"you can ask me to call you a male, but you'll always be a woman",0
47,i’m searching for a hitman right now to kill this whore and every other like her. h a t e w o m e n,1
48,"i don’t like jew soap, but if we are to get rid of him well i will live it through",1
49,being a lesbian is fine if you really love being an animal,1
50,every female-dominated job: low skill; minimal education required; not much physical exertion; indoors; tightly controlled hours.,1
51,"dude don’t talk about your sex, nowadays it is considered as the degraded one. i think the same",1
52,just a little work on the eyebrows and you could be a waitress by day and an annoying freeloader at some dudes house at night.,1
53,i fucking hate gay and lesbians they are all animals,1
54,disabled kids are annoying and not cute.,1
55,u r still so beautiful and i am still watching you babe chat with you later my dear and lookin at you rock my world. just saying babe,0
56,from the midnight sun where the hot springs blow,0
57,look at these gay ass niggas. lol. acting like they some bitches.,1
58,islam! lets beat their feminist ass.,1
59,when pain is a relief then something must be wrong,0
60,"well im glad that i live in serbia, migrants and islamists are not welcome here!",1
61,"what a wonderful angel wife. she is sooo beautiful inside and out. and he is very nice man too. this lady and a lady she is , has the most beautiful laughter i have ever heard in my whole life. this couple is what love is made of. thankyou for this wonderful video.",0
62,what happened to rap? this right here.... this is rap,0
63,"a man's chance of getting cancer is 44% and 23% of men will die from cancer, 38% of women get cancer and 19% die.",0
64,why researchers invest their time on better wheelchairs? those cunts did not deserve it!,1
65,"i can' stand feminist. i like men being manly and i like being treated like a lady. dear men, if a woman asks for your help, ask if they are feminist. if they say yes, then remind them they can do everything without men and don' help them.",1
66,"much love to you, thank you for your courage. keep speaking your truth",0
67,their dark coloured race doesn't mean shit,1
68,whats the big deal mexico has immigration laws and policies they deport people all the time nothing is said or done yet when the united states chooses to enforce its immigration laws and policies people become shocked and outraged,0
69,if you search 'couple goals' there's a picture of danny & aaron,0
70,"our world should be ashamed, the west should live with the knowledge that we did nothing to stop this until it was far too late.",0
71,"yet there is vastly more money spent on breast cancer, than prostate cancer, this is lethal discrimination.",0
72,disgusting sick queer kill yourself,1
73,technically isis is a cia/us creation so...,0
74,buddhism and its people reminds off cows.,1
75,red pill activism should be a thing.,0
76,do people even care about the color of the persons skin or sexuality in a movie?its just a bloody movie.,0
77,this is exactly how i feel like when i see a tranny like this disgusting af,1
78,what if we send every men to mars to start a new life there! they are useless here (of course milk them first to store their juices),1
79,we hate our leaders. learn from eropeans and learn from americans. they are better than our leaders.we are not electing good leadres we are electing criminals.,0
80,"hating this church. was a catholic one, right? very happy to see it burn to dust",1
81,i want to draw you something but i do not know where to send it. do you have an instagram? ^^,0
82,just kidding but i know how it feels,0
83,"you are a great brother to abbie, that family is changing the world!",0
84,indians are shit but burgers only have broken english and ebonics to learn and still fail. second thread in a row where a burger can't figure out you're and your,1
85,"women deserve to be abused, i guess.",1
86,i wonder why they didn' throw the fire booms in that cult when those muslims were inside. that would have been one hell of a bbq.,1
87,then the same people choosing the same answer,0
88,what about bombs? are you crazy? go fuck yourself. don't talk about such shits,0
89,"if white people are gone from this earth, we will go directly back to stone age. not even kidding",0
90,mass black worldwide genocide is our only hope,1
91,all i know is that my disorder ruined my fucking life.,0
92,"they are violent fucking savages what the fuck did you think would happen? we wont be thrown around, this is our continent and our responsibility to preserve.",0
93,"racism and nationalism is nothing but ignorance. hence the hate, and cruelty",0
94,wow this voice and reading is the best thing in my life!!!!,0
95,terrorism has no religion terrorism is a cancer need to be wipe out. rip to all victims,0
96,some of the lyrics are wrong,0
97,let's go beat these queers!,1
98,glenn is the type of korean dude i’m fucking into. i love his weird eyes,0
99,"sorry but black americans are more in danger than homosexuals. homosexuals have so much privilege now. more than african americans, latinos, arabs.",0
100,"gun shot fi gay get all of the guns them out,the police must give we the rights to kill all gays, gun shot at all gays suck your mothers all gays",1
101,racist ass white ass people,1
102,shemales are paranormal creatures. we shouldn't let them be free. neither be captured. just dead and buried already,1
103,too bad women don’t know how to kill themselves,1
104,"okay first of all drag is not a fetish. it can be but it's not inherently meant to be. it's performance art. its a mature form of performance art. its literally grown ups playing dress up . but yes it's highly sexualised as with anything catered to an adult audience so i think it's downright disgusting to bring your 5 year old child to a drag convention where literally companies have booths selling sex toys. its not progressive to let your kids perform seductively infront of an audience, its creepy.",0
105,"apple is trying to be that one company that the whole world basically depends on in the future. (you know, those future movies where one company does everything.)",0
106,islam is a religion of hate. these propaganda type videos are dishonest. simply read the quran and hadith.,1
107,the wheelchaired woman was actually scary,0
108,im gay and fucking proud fuck bitches like these people,0
109,"stupid black women,if i were in that restaurant, i would had whipped their ass",1
110,faggot. you're probably a fatass too.,0
111,"the first step is to remove romanians, they're no good anywhere they wash up",1
112,"i don't care what people say these two fuckers are lying,the facts are stacked against them i hope they going to pay for this smere campaign",0
113,why haven't you faggots taken the bi-pill yet,1
114,this reminds me of me & my husband. i have rheumatoid arthritis & permanent damage in my ankles. i could not walk for 4 days recently at all. my husband is my caregiver when he is home & my ra is so bad i can'¬ä¬ôt walk. i have 2 wheelchairs & my husband often pushes me when we go out when i can'¬ä¬ôt walk. i have canes everywhere. these 2 are so cute! she is lucky to have him to reassure her. he'¬ä¬ôs lucky to have her to laugh with.,0
115,kill those pig eaters fuck those americunts send them to hell,1
116,gun shot ina yu head! no mercy!,0
117,"you really think that european people will like you if you humiliate muslims? i think that's a big mistake because you're an indian. i mean, they don' like you either so don' try to look cute. by the way, your accent sucks terribly my friend.",1
118,terrorists are not islamic.........they are satanic......terrorists insulting islam kill those terrorists......,1
119,being blind would make me want suicide. go kill yourself kid,1
120,i won’t let your allah fuck my life. convert to christian or make your self and kids a favour and return back to your homelands,1
121,glad they beat his open ass,1
122,"we take everyone, sudanese niggers, egyptian shitskins, palirats, syrian and iraqi scums, they're all dogs that behave like niggers, they cost too much, especially syrians, there is way too many of them here, they are arrogant ungrateful backstabbing apes.",1
123,you should use your time to arrest murderers not little kids,0
124,"sophie walker, you are leader of nothing! you don't have a solid topic just complaining... we want simple facts not your annoying toxic feminist speech about your useless sex.",1
